sentiment,STEMMED
-1,salah laku nyamuk lolos geplakan tangan
1,udah bikin adon starter jam gatot alias gagal total gara gara lupa nambahin gula plus keding
-1,coba gagal 
1,puding gagal aih
1,dichat oa linenya daftar gagal tutup terus terk
1,gagal hanya ajar gagal alam
-1,gagal
-1,gagal motor time jpj jatuh titi cinta
1,galau gagal galau
1,coba register otp masalah typing otp masalah hasil tolong call cs gagal regist
1,coba daftar aplikasi aja gagal pake
1,duga kuat tahan beban keluarga ayah nekat sewa kuli panggul pasar
1,kalo angkat beban olahrga
-1,ga ada kyanya orang rumah bahagia kyanya beban nya hilang
1,belum beban idup benyak banget anjing
-1,beban tanggung selesai
-1,haduh gasadar beban
-1,remaja mabuk beban hidup
-1,tahu semut angkat beban kali tubuh
-1,pikir pikir beban banget yaa habis pikir
1,magesup doang beban pikir anjeng
1,tolong nambah nambahin beban idup
-1,emang beban
-1,posisi cari aja orang beban banget sumpah duit abis ngerasa ngerepotin banget
1,dikatain beban sama anak tiktok 
-1,beban banget
1,ketawa banget hobby beneran gemar nambahin beban sapa
-1,cewe beban
1,kenapa hilang beban upah diriku
-1,beban
1,bayi imunisasi beban ganda pandemik
-1,beban army tiktod
1,alhamdulillah allah beban ortu allah tau baget hamba
-1,sumpah beban banget baca ovt
1,plis nambah beban pikir sungguh umat manusia sulit manusia lainnya azab
1,takut beban mental
-1,mena nampak lelah kemari lepas beban beban peluk
-1,jt moga tembus mandiri biar beban
1,ortu lengkap sehat asa banget mikul beban butuh rumah udah gitu ortu
1,sampe semester beban aja anjing
1,hai im back akhirnyaa twitteran beban yaa wktu libur semester doang
-1,dear udah main lepas aja beban menang kecewa ko kalo kalah ekspekta
1,genesha operation buku the king k daftar sbmtn tiket kereta ke hotel bareng temen daftar
1,hidup aja udah beban fangirling beban gini
-1,beban keluarga
-1,berat apa beban hadap percaya lebih batas mampu eaw
-1,beban hidup aja udah ribet username sosmed ribet pusing
1,bun apa tanggung beban orang ikut apa
1,dosa gangguin orang beban
1,alhamdulillah finish for ecj beban kurang satu
-1,habis beban hidup abis sisa pc bablas nyoret aja
-1,beban
1,mama dek kerja gaada beban enteng banget hidup malam ovt mena
1,ajar biasa ajar ikhlas pergi ajar mel
1,mending main orang emang nganggep teammate beban sampah apa role mu
1,beda sender bawa beban hidup nambah
-1,beban
-1,taii nambah beban ultah deui anjiirrlah
1,wajib banget beban keluarga
-1,gada duit alhamdulilah nambah beban lemari buku
1,mereka milik beban pikir
1,beban pikir sudab hilang
-1,beban amat
1,udah stress beban beban stress
1,beban pikir daritadii
1,bener bangett nemenin jaman bocil alay sampe skrg beban hidup
1,jan banget kuwi utang beban
-1,beban keluarga
1,kalo beban timbang sbenarny
-1,beban rakyat
1,kurang beban kos rakyat 
1,bikin mikir emang pikir omong beban pikir orang bangsat
-1,beban keluarga
1,aduh sbnrnya takut diitung bimbel offline bimbel online qiupper 
-1,doa beban idup menk
-1,berani ngejumlah gagal semuaa wkwkw beban keluarga
1,allahu iya beban ini
1,pergi hangout beneran yaa sekarang temennya mulu ofc beban
-1,beban hidup
-1,emang anak beban ortu nikah sadar ajaa
1,sering cemas biar paranoid sampe gila pengecut
1,orang jepang keliru nyikapin nerjemahin kalimat maksud juang sampe habis 
-1,orang pengecut sampah liat
-1,langsung pengecut bicara jelek jelek belakang
-1,hina shanks pengecut 
-1,hipokrit sikap pengecut asap api
1,cupu cari lindung balik base muncul ribut sorry to say pengecut k
-1,mang pinter tolol goblog bencong pengecut ngomong sok
1,ishida kun tindas lemah lawan kuat pengecut bleach syquote
-1,pengecut nyali kaum sampah akwkaa
1,maaf joji ganti haluan kayak pengecut play kali iring ovt malam
-1,serah usaha nama pengecut
-1,cowo sopan santun banget kasar cewek tukang kompor gaya sombong 
-1,getir narasi kalah kuasa kalah get
-1,pengecut munafik
1,identitas suara pengecut manusia lemah
-1,liat nihh cebong anarkis tukang rusuh bodoh pengecut
-1,pengecut tau gamau ambil pilih gamau salah kalo pake pilih orang
-1,bilang aja takut anies presiden dasar pengecut
-1,laku udah kabur say biasaa playing victim tipe pengecut minger kabur
-1,rate matkilau sokong tegar khilaf manusia skeptik
-1,takut anis hitam putih bahaya abu orang munafik
-1,halah munafik ris
-1,cakap akhirat kubur padang mahsyar syurga neraka follow malu wei
-1,slam ktp gus islam munafik kalo islam tk mgkin makan daging babi hayoo ngomongin
-1,munafik
-1,negeri nya manusia munafik otak koruptor
-1,benci munafik suka orang
-1,sujud ma tuhan jam menit sembah sujud puji tipu
-1,munafik kalo doyan hey tempat kenal langsung men
-1,ansare sb aap ek munafik janet adme han aur munafikat inteha han state bank imf contro
-1,nama munafik
-1,gilir puruk langsung bohong dasar munafik
-1,munafik pasal wayang ni
-1,partaiknya keras benci mati parpol maling sapi benci k
-1,kalo ambil aja gausah munafik pura gamau tau malu udah ambil ajah gausah munafik
-1,munafik nya kaum kadrun kuatir pad merosot kasih jalan lha tutup
-1,munafik ho tum
-1,emang udah takdir negeri pimpin manusia munafik sok suci layk nya nabi bejat munafik
-1,munafik kalau sedih
-1,orang munafik beb bikin muak
-1,tipe manusia layak hidup munafik bohong
-1,orang munafik dapat update hari video poster ilmu jadwal gabung da
-1,golong munafik racun level alam semesta
-1,dengar filem mat kilau unsur unsur gangster munafik
-1,tenggelam anies nasdem aman nkri sebab pecah politis munafik
-1,pegang simpan tampar orang orang munafik gila jabat rebut
-1,perkara dance gitu doang allahuu gausa munafik tae buka baju kemaren aja demen anjing mnding fokus
-1,nama twitter ganti pantes pake nama khazanah udah tau haram leceh nabi muhammad eh
-1,locked orang munafik
-1,takda noh ayat munafik fitnah laga orang
-1,munafik simpan bokep dlm hard disk jaman skrg sapa
-1,muslim fakksin haram haram binasa akal tak tidur
-1,munafik banget nang
-1,munafik bangke
-1,kalo suka orang coba aja liat orang munafik
-1,kotor suci hina beril munafik jiwa bersem
-1,gausah munafik nama manusia butuh validasi fokus situ mending liat pesan utama sender h
-1,munafik
-1,isi janji main hantam aja munafik orang perangai sapu
-1,manusia munafik manusia anju
-1,teori orang jahat akal sehat kadrun munafik
-1,kasi banget tetangga sebentar orang munafik tukang dzolim sabarr sabarr
-1,ngomong buat beda munafik kelas elit
-1,munafik pengen someone spesial
-1,iya skrang tanding negara coba liat kbelakang io im bkal bilang sperti
-1,maaf kecuali munafik cepat akrab orang kreak
-1,coba buka tutup wajah mu bencong kadrun tukang munafik aktivis bego
-1,kolam berudu panas jaga rukun dusta isyarat alam sudah ger
-1,bener banget pilih pilih teman cari teman lingkung penuh drama munafik
-1,gamau munafik jujur prefer dibayarin split bill banget kalo uang bayarin
-1,munafik kalo orang jaman skrg ngeliat cewek cowok fisik kali liat wajah urus hati
-1,pm jepang sok pengenal sok rangkul england tinju france peluk fz kadrun cuman nyiyir sirik munafik
-1,beda jujur munafik bobrok
-1,munafik mati aja ngentod
-1,anjing lacur golong munafik hina binatang
-1,munafik hina binatang
-1,lebai ni part mat kilau baca hadis munafik time jumpa deris malu bodo
-1,laku kadroen undang usaha bakso abang bakso dorong apa guy
-1,munafik bumn giur
-1,andai bisadiulang ktmu sm orang munafik
-1,tau munafik cuan hidup
-1,fakta anies baswedan munafik ahli neraka
-1,nabi kawan orang pecah amanah munafik
-1,rem banget anjing munafik nonton bayang mulu
-1,nonton film makmum munafik
-1, andal kaum kafir munafik
-1,gapapa enggak gagal gagal univ jurus
-1,munafik muna taufik kah
-1,laporin aja cctv gitu udah aneh orang bejat udah ngelanggar atur
-1,kesel bisa senyum aneh banget ni orang
-1,tim kiri makenya bilang aneh nyaman pake jam tangan
-1,emang aneh
-1,udah plss aneh banget
-1,kalo diturunin high note ubah nada dasar biar aneh
-1,emang lala aneh banget band bunda neira
-1,akun aneh aja
-1,waa emang pts gin kelas ganti tgl merah yaa kirain kampus aneh gitu
-1,aneh stobeli mintchoco
-1,ngapalin reported speech menit uji kalo bingung tang ting tung aja kalo mu
-1,manusia aneh
-1,nanya nya aneh
-1,udah tau disakitin tahan aja udah aneh
-1,aneh anjri smapa smapa
-1,iyaa ngebenerin tetep anggap kesel langsung qrt aneh sumpah
-1,tolong coba coba aneh
-1,aneh banget suara bias tau udah kasih tau kalo suara member terima tetep kekeuh sam
-1,aneh
-1,aneh
-1,ngomongin mikirin sexuality orang aja udah aneh males banget timeline bahas ginian mulu
-1,hah aneh banget kurir nya
-1,judul buku pake nama ship aja udah aneh
-1,iya ko kak aneh banget
-1,gatau gedeg sm model cewe gin menye gajelas aneh kalo laper cari
-1,banget aneh laku
-1,sistem nya aneh sumpah emblem nya
-1,kelar episode money heist overall enjoy tegang reng aneh chemistr
-1,heh ngatain cil cil cil panggil emak emak julid aneh
-1,mimpi ketemu jogja acara ulang tahun ringgo aneh nyata nyata aneh
-1,udah rasa aneh bener teriak aja dh salah engga aman teriak
-1,aneh
-1,ngabarin dedek ayank ayang adik ad brita aneh bca nonton kongser ajh ab
-1,aneh dunia
-1,aneh geli baca ulang
-1,lucu aneh banget ngeliatnya umur udah aja pikir anak tk dah ketawain aja
-1,produk makan minum tarik edar kandung bahan bahaya produk real
-1,aneh siih ko orang out of nowhere ngechat wa privasi gitu
-1,kiri aneh pake kanan
1,cuaca aneh
1,kagamizune suara cempreng aneh
1,mancanegara slh strimer femes kuntit orang aneh sampe temennya strime
1,salah anak disalahin emaknya aneh
1,solostan laen dpt protes ikut gitu aneh
1,jritt sekte aneh kucingg
1,aneh gaenak jir
1,kelas tvone ko ngangkat cuit buzzer tukang hasut adu domba aneh
1,beda level aneh aja bilang
1,susah aneh
1,margot mas oke aja ryan gosling mas aneh liat masp smg film baguss
-1,emang aneh banget anjing jelas
1,aneh suka sempit
-1,aneh aneh aja kejer pdi perjuangan
-1,iya lihat gitu gelagat rada aneh
1,ngomong aduh taeyong kak aneh renti bias
-1,eksrim sender dm nangisin jamet jls aneh cwe cemburu sinting ah cwo mu babi air
-1,adenya aneh anak udah pengen banget gang ngode kali tetep aja kaga
-1,stan bts aja udah aneh salam twinkle twinkle
1,asa aneh meriang
-1,iseng buka dm ig sadar aneh salah dm cek
-1,aneh
1,aneh angela only jaman mitik
-1,dikatain rp bahiyyih aneh
1,aneh nya dd
-1,aneh laku generasi remaja perempuan sidoarjo nyemplung kali min
1,tagih vlog vlognya lucu aneh banget emang band
-1,capek kejametan bener apo bilng mnrut p mile aneh
-1,cinta aneh manusia genggam trlalu longgar lari
-1,ngapain saing anjing pdkt in eluu aneh banget shit
-1,aneh
-1,maaf kadang kadang emang aneh akun
-1,whats wrong with people nowadays karakter fiksi sampe dewa begitu aja udah aneh the worst thing i ve ever read
-1,aja manusia manusia aneh
1,untung banget cinta buta anda ngeliat orang jelek laku
1,tuhan orang orang pasrah tanda tangan ktp nya jelek
1,foto ktp jelek banget anjing kaya buron
1,kalo bahasa inggris jelek bahasa inggris bagus
1,good looking jelek anggap botol obat sakit mata
1,ngawalin bikit jaket almamater model jelek kayak sekolah varsity bagus
1,asli jelek banget pindah posisi
1,asa bagus jelek
1,skill design jelek banget asisten senior vm doang bikin d designnya
1,jelek banget timeline mending vote ngurusin orang asli orang omong
1,tau kah lucu dunia ajar sbmtn fokus tes potensial akademik matematika aja hasil
-1,iya jelek doang enak
1,iya anjing
1,tolong anjing gajadi bangsat
1,anjing tks
-1,ngaca anjing anggap bahan gabut anjing kalo temen sib
1,anjing 
1,anjing
1,regan ketemu tikam anjing
1,akun belah suka kelogout anjing
1,adik sensitivitas nya banget anjing
1,masker sold out anjing
1,anjing
1,cium lebih anjing lacak anjing
1,anjing
1,anggap gonggong anjing binatang makan bangkai jilat bayar
1,nomor bener anjing
1,mikir atuh kalo ngomong teh anjing
1,anjing banget
1,udah telat menit kelas lantai anjing
1,anjing
1,kaga anjing
1,beli aja anjing
1,anjing
1,tetangga anjing kak
-1,temenku lesbi gitu anjing
1,anjing bang ngepetnya kambing
1,random aja minsung live bareng anjing
1,nama aja cholie tukang cili doong orang biopolar sampe teroris ima
1,anjingg mipa udah dpt nasi jinggo aja sukur anjing
1,anjing
1,kena spoilernya in this life i will be the lord suami bibi tia anggap orang bapak kemb
1,anjing kuota
-1,plis anjing ni ade sepupu anjing
1,anjing nikah aja yuk vegas
1,anjing
1,anjing
1,haduh anjing
1,anjing cape ngemaskan kamar ya
1,anjing tutor 
1,anjing
1,anjing baang bahasa ngendus banget akan tainya bang ian
1,anjing muter muter 
1,anjing
1,anjing rame banget
1,anjing lacak cari sangka tangkap kejar cari barang bukti cari mayat
1,yaallah kulit gaada luka kasi meng nya dingin berani banget anjing petshopnya kesel
1,bener pala kucing anjing
1,anjing
1,anjing kaget hot banget by the way huh hah
1,anjing
-1,tau bodoh seperti anjing
1,yang bener kucing anjing
1,ngomtol anjing lucunyah
1,tau dapet anjing
1,alias anjing gapunya uang
1,motor anjing maksud
1,tonjok muka anjing
-1,anjing khayal nya parah poper udah tolong fans mu
1,anjing
1,anjing
1,anjing
1,pasu nasi bungkus anjing
1,anjing
1,handsome nya kurus handsome sharp jawline peh time reject hah padan muka ber
1,orang minta program kurus minum alkohol
1,kurus luar titip nasi padang
1,kurus
1,risau akulaku kredivo kreditpintar gestun
1,ngerasa jona kurus asa doang efek foto
1,kurus
1,bin kurus samping wonho
-1, pendek kurus sm baju ngembang gitu
1,zaman svt kurus keding
1,kurus abis nang bulan
1,diet time kontrol kadaar gula darah banyak konsumsi buncis cepat kurus 
1,bangett proporsi persis kurus tiang listrik
1,lee moncet ni emma tolong baca baca kurus
-1,kurus gering kurus kalo
1,zoo kucing aja umur udah transisi proplan kitten proplan adult salmon kucing 
1,mending fokus ngurusin anak aja ngurusin kurus
1,kurus kejap kurus tahun berat badan ideal
1,tulang kering kaki ka kalo badan kurus rasa kalo ngesok wkk
1,kurus
1,day gering kurus
1,lari aja udah ngap ngapan ban maunya kurus
1,alyssa soebandono sakit dude harlino jelas
1,pengen kurus
1,kurus adeku lebih pendek isi face nya lbh boros
1,bikin kurus
1,kurus makan pisang aja
1,pantesan denise tba kurus banget
1,weh zuraida slim ni mak mak kurus ni tibah emo
1,kalo minggu olahraga kurus kadang
1,allah pengen kurus
1,bikin kurus kalo panas banget
1,colleague ni kurus her bmi is overweight obesity me bmi normal a haluih laki suk
1,yorang tegur kurus
1,istri kurus dude herlino buka suara sehat paham kembang newsrctiplus
1,tubuh kurus alyssa soebandono sorot netizen kurus banget kak lombok insider
1,orang kurus putih tangan lentik anak asrama sekolah swasta nama
1,kak sumpit kurus
1,sangka wawancara warga musim pilpres warga aka
1,katain lulus anak because badan kurus mungil pendek
1,pinggang gin gitu insecure dikatain kurus 
1,kurus udah
1,daftar kerja bioskop maa katae baek pribadi tinggi dapet berat badan
1,hobi makan pengen kurus
1,tips kurus
1,bahagia rupa rumah tangga tegar septian cerai isteri
1,info cepat kurus stress stress makan
1,nasi merah biar kurus jare
1,jom kurus icara teh tarik vset slim tekan link order
1,diet sehat alami olahraga pede badan gendut wmp aja solusi more info bbm f c ca wa
1,mas ngatain i tau gendut
1,iri demen mukbang gendut gendut
1,b daerah cimahi fun gendut gaycimahi gaybandung gaysangkuriang
1,perut gendut sexy
1,sayure ngerti ngerti kuliah jogja ngerti ngerti
1,diet sehat alami olahraga pede badan gendut wmp aja solusi more info bbm 
1,anya anya
1,gas
1,engga emang jari rada gendut kaya kenceng
1,hayuu main bareng gm
1,tiernya
1,alias vale kntl udah maksa tau copoo
1,iya
-1,mas gendut
1,orang pake oversized bagus pake udah snorlax anjing gendut banget
1,biarpun gendut muat hati
1,fix sender
1,aja
1,tarik
1,rumah
1,mun wisata sama kaya 
1,wisata mun wisata kuliner wisata aja
1,dasar kaya basuh bjm hujan bjb
1,doggy aja rawat sampe gendut sayang suami
1,oh bjb hujan sabtu hanyar basuh kendara
1,liat nganggur udah kerja liat gabut doang rumah rekening
1,ritual panggil hujan
1,gapapa gendut tetep muat hati
1,pov simpel orang abigayl
-1,emang udah tolol
1,baca komen awet
1,prestasi nekat nyapres mainanya radikal radikul buzzerrp tolol
1,orang tolol gasuka cokelat
1,saran wireless earphone k bang
1,kocak banget anying opininy orang tolol
1,k original merk oase olike taun lbih awet
1,vido
-1,cowok tolol iya
-1,orang goblok otak pendek ngincer member sharing aja tolol
1,tolol twit abigayl tidak su
1,beli goceng warna ungu lucu banget awet
1,beli harga k suara enak awet
-1,tolol kelar kelar
