date;username;tweet;keyword;Normalisasi
28/06/2022 15.37;fatioy;  bener  gausah malu nganggur setaun  toh bukan gara2 gak naik kelas karena nilainya jelek  ;jelek;bener gausah malu nganggur setaun toh bukan gara2 tidak naik kelas karena nilainya jelek
28/06/2022 15.36;OhMyDayomi; yang item putih jelek bgt kek foto copyan;jelek;yang item putih jelek banget seperti foto copyan
28/06/2022 15.36;sugalouv;km mau tau kh apa yg lucu di dunia inie  ak bljr sbm 3 bulan fokus ke tka matematika aja tapi pas hasilnya keluar   ;jelek;kamu mau tau kh apa yang lucu di dunia inie aku bljr sbm 3 bulan fokus ke tka matematika aja tapi ketika hasilnya keluar
28/06/2022 15.36;mauakunui; km jelek bgt y;jelek;kamu jelek banget iya
28/06/2022 15.36;dayafoxs;mau nangis jelek roxana kambek  loudly crying face  loudly crying face ;jelek;mau nangis jelek roxana kambek loudly crying face loudly crying face
28/06/2022 15.35;loopscrunch; iyakk jelek doang tp enak kok;jelek;iyakk jelek doang tapi enak kok
28/06/2022 15.35;_retnodewi;  chapter terakhir sungguh banyak bawangnya  bayangin aja lu pram  yere  ibul  leo  daniel ama bag  ;jelek;chapter terakhir sungguh banyak bawangnya bayangin aja kamu pram yere ibul leo daniel ama bag
28/06/2022 15.35;woolatto;kok igku setiap post story video dr hp jadinya full layar ya  mana gepeng lagi  anjir jelek banget pls  loudly crying face  loudly crying face  loudly crying face  loudly crying face ;jelek;kok igku setiap post story video dari hp jadinya full layar ya mana gepeng lagi anjing jelek banget tolong loudly crying face loudly crying face loudly crying face loudly crying face
28/06/2022 15.34;Priboemi_JKT;  jgn di senggol  pak hajinya di kritik malah nyinyir ke tim kalau memang  ;jelek;jangan di senggol pak hajinya di kritik malah nyinyir ke tim kalau memang
28/06/2022 15.34;DiiCheese;                  sriuss loh gadaa tuh niat jelek like nyindir or something tp ngapa org  pd tersinggung  baper    leogirl;jelek;sriuss loh gadaa tuh niat jelek like nyindir or something tapi ngapa orang pd tersinggung baper
28/06/2022 15.34;kthyngviee;salah pilih warna ajg jelek bgt  broken heart  ;jelek;salah pilih warna anjing jelek banget broken heart
28/06/2022 15.34;haerchaan; jelek lu;jelek;jelek kamu
28/06/2022 15.34;kissedbyjeno;ya allah kak mana ada jelek  loudly crying face  loudly crying face  loudly crying face  loudly crying face  loudly crying face  loudly crying face  oncoming fist  ;jelek;ya allah kak mana ada jelek loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face oncoming fist
28/06/2022 15.34;Jemyguel;gila baca replynya mash banyak seksisme itu diotak manusia ya  a lil bit shock sih   muka kaya badak   udah jelek   ;jelek;gila baca replynya mash banyak seksisme itu diotak manusia ya a lil bit shock sih muka kaya badak udah jelek
28/06/2022 15.34;iocivo;knalan anjrit ih typo jelek;jelek;knalan anjrit ih typo jelek
28/06/2022 15.34;romsaena;    lagi males on disana  hawa nya jelek;jelek;lagi males on disana hawa nya jelek
28/06/2022 15.34;MyChemical_Rmnc; kalo nilainya bagus gpp  tp kalo jelek tak marahin;jelek;kalo nilainya bagus tidak apa-apa tapi kalo jelek tidak marahin
28/06/2022 15.48;rsuukuna; iya anjing wkwk;anjing;iya anjing wkwk
28/06/2022 15.48;milkbttlee;kalo dulu kemana2 sll diajak skr boro2 diajak lgsng ditinggal alesannya  pasti kamu nolak gamau ikut jd gausa tak a  ;anjing;kalo dulu kemana2 sll diajak skr boro2 diajak lgsng ditinggal alesannya pasti kamu nolak gamau ikut jadi gausa tidak a
28/06/2022 15.48;kirrr_rahhh;pls anjing bkn gajadi bgst;anjing;tolong anjing bukan gajadi bgst
28/06/2022 15.48;thviiz; gue lagi anjing  tks;anjing;aku lagi anjing tks
28/06/2022 15.48;coworenjun;  wk ngaca anjing  lo yang selama ini anggap gua bahan gabut kan anjing kalo temen lo ga ada lo sib  ;anjing;wk ngaca anjing kamu yang selama ini anggap aku bahan gabut kan anjing kalo temen kamu tidak ada kamu sib
28/06/2022 15.48;oniswrath;anjing wkwkwkwk ;anjing;anjing wkwkwkwk
28/06/2022 15.48;raturebahan_;kek anjing;anjing;seperti anjing
28/06/2022 15.48;neeyashr; regan kalau ketemu gua tikam lu anjing;anjing;regan kalau ketemu aku tikam kamu anjing
28/06/2022 15.48;lixcode;ah anjing aku udh stress beneran krn 4 huruf itu ;anjing;ah anjing aku udah stress beneran karena 4 huruf itu
28/06/2022 15.48;rantyara;akun sebelah kok malah suka kelogout sih anjing;anjing;akun sebelah kok malah suka ke logout sih anjing
28/06/2022 15.48;yoyowhasup_;kek gue spicles banget sambil menyebut anjing gila lo choi ywnzznn loudly crying face ;anjing;seperti aku spicles banget sambil menyebut anjing gila kamu loudly crying face
28/06/2022 15.48;___ztt; anjing kamu mas;anjing;anjing kamu mas
28/06/2022 15.47;mashidams;punya adek sensitivitas nya tinggi banget anjing;anjing;punya adik sensitivitas nya tinggi banget anjing
28/06/2022 15.47;jsuhsolo;maskernya sold out anjing ;anjing;maskernya sold out anjing
28/06/2022 15.47;yohan0252; mati aja anjing;anjing;mati aja anjing
28/06/2022 15.47;kuroorin;wkwkwkwk anjing;anjing;wkwkwkwk anjing
28/06/2022 15.47;gapakebaper; penciumannya melebihi anjing pelacak   anjing apakah itu  ;anjing;penciumannya melebihi anjing pelacak anjing apakah itu
28/06/2022 15.47;44DDALGI; kontol lagu apaan itu anjing;anjing;kontol lagu apaan itu anjing
28/06/2022 15.47;ndthvnt; anjing;anjing;anjing
28/06/2022 15.47;2001Tgk; anggap sj gonggongan anjing tuch  binatang  pemakan bangkai   mrk itu para penjilat  bayaran smua u  ;anjing;anggap saja gonggongan anjing tuch binatang pemakan bangkai mereka itu para penjilat bayaran smua u
28/06/2022 15.47;rfiranny;ini nomor bener2 anjing ya  ;anjing;ini nomor bener2 anjing ya
28/06/2022 15.47;RlLMIN;mikir atuh kalo mau ngomong teh anjing;anjing;mikir atuh kalo mau ngomong teh anjing
28/06/2022 15.47;Inibilqisbil;anjing bgtt;anjing;anjing bgtt
28/06/2022 15.47;houryasa;udh telat 15 menit mana kelasnya di lantai 6 anjing  face with crossed out eyes ;anjing;udah telat 15 menit mana kelasnya di lantai 6 anjing face with crossed out eyes
28/06/2022 15.46;fuuuuushiguro;lo ngapain anjing pake emot love segala skull  skull  skull  skull  skull  skull  skull padahal abis itu langsung dibuang soalnya gaenak ;anjing;kamu ngapain anjing pake emot love segala skull skull skull skull skull skull skull padahal abis itu langsung dibuang soalnya gaenak
28/06/2022 15.46;Haidararrash1; jiah elah si anjing kuntet ngga keren banget postingannya   ngga ada yg keren dikit ted kuntet loe em  ;anjing;jiah elah si anjing kuntet tidak keren banget postingannya tidak ada yang keren sedikit ted kuntet loe em
28/06/2022 15.46;penyukaamekdi;  gw terror tu maling pake telpon   wassap  kebetulan masih nyala internetnya  gw bunyiin tu  ;anjing;aku terror tu maling pake telpon wassap kebetulan masih nyala internetnya aku bunyiin tu
28/06/2022 15.46;weneverkno_;anjing sakit bgt to hahaha;anjing;anjing sakit banget to hahaha
28/06/2022 15.46;chezuev;ah sialan arghh kenapa sih anjing;anjing;ah sialan arghh kenapa sih anjing
28/06/2022 15.46;qManjireo; anjing;anjing;anjing
28/06/2022 15.46;savioryouu;  kaga anjing;anjing;kaga anjing
28/06/2022 15.46;vhdayn; lu beli sendiri aja anjing;anjing;kamu beli sendiri aja anjing
28/06/2022 15.45;mark_geu;anjing ;anjing;anjing
28/06/2022 15.45;SilverEstrella; kan ga punya tetangga yg punya anjing kak;anjing;kan tidak punya tetangga yang punya anjing kak
28/06/2022 15.45;adngeulis; temenku yang lesbi juga gitu anjing  loudly crying face  thumbs up light skin tone ;anjing;temenku yang lesbi juga gitu anjing loudly crying face thumbs up light skin tone
28/06/2022 15.45;YOONSUeit;  anjing bang  gua ngepetnya jadi kambing;anjing;anjing bang aku ngepetnya jadi kambing
28/06/2022 15.45;privathanji;random aja nih ya  minsung kapan live bareng anjing ;anjing;random aja ini ya minsung kapan live bareng anjing
28/06/2022 15.45;kadrunogeb; wah namanya aja cholie tukang cili doong w rasa org ini mmg biopolar sampe2 teroris si ima  ;anjing;wah namanya aja cholie tukang cili doong aku rasa orang ini memang biopolar sampe2 teroris si ima
28/06/2022 15.45;ayamgule; anjingg  loudly crying face  loudly crying face  mipa udh dpt nasi jinggo aja sukur anjing  loudly crying face  loudly crying face  loudly crying face ;anjing;anjingg loudly crying face loudly crying face mipa udah dpt nasi jinggo aja sukur anjing loudly crying face loudly crying face loudly crying face
28/06/2022 15.45;sgtbut;gue benci orang lemah gue benci anjing ;anjing;aku benci orang lemah aku benci anjing
28/06/2022 15.45;peluwang; anjing lah ya;anjing;anjing lah ya
28/06/2022 15.44;acebeez;sad bgt si anjing ;anjing;sad banget si anjing
28/06/2022 15.44;remajajompox; anjing bikin naik darah kan  ;anjing;anjing bikin naik darah kan
28/06/2022 15.44;kingabdulahadam;  nyali bacod anjing rabies  selalu menghina ulama itu nyali banci laknat  sok2an ngmg islam tp menghina ulama ;anjing;nyali bacod anjing rabies selalu menghina ulama itu nyali banci laknat sok2an ngmg islam tapi menghina ulama
28/06/2022 15.44;RlLMIN;malu maluin anjing;anjing;malu maluin anjing
28/06/2022 15.44;calcafier;trus kena spoilernya in this life  i will be the lord  suami bibinya tia yg gue anggap orang baik  bapaknya si kemb  ;anjing;terus kena spoilernya in this life i will be the lord suami bibinya tia yang aku anggap orang baik bapaknya si kemb
28/06/2022 15.44;vhdayn; ga usah aneh  bisa ga si anjirr  idup w dah susah jgn lu tambahin susah anjing;anjing;tidak usah aneh bisa tidak si anjirr idup aku dah susah jangan kamu tambahin susah anjing
28/06/2022 15.44;hanyajungkook; dih anjing kalau lo trauma gausah bawa bawa anak lo;anjing;dih anjing kalau kamu trauma gausah bawa bawa anak kamu
28/06/2022 15.44;SiawPunch;  namanya anjing  ya harus setia menyembah gub  dari yaman ;anjing;namanya anjing ya harus setia menyembah gub dari yaman
28/06/2022 15.44;spebrm; iya anjing gue ui undip tamggal sama  jam sama  kesel bgt ;anjing;iya anjing aku ui undip tamggal sama jam sama kesel banget
28/06/2022 15.44;purvlejn;kaya orang bego anjing;anjing;kaya orang bego anjing
28/06/2022 15.44;yurwelll; enggak anjing gue gak ada kuota;anjing;enggak anjing aku tidak ada kuota
28/06/2022 15.44;lovingjewoo;plis ya anjrit ni ade sepupu guee lo kek anjing;anjing;plis ya anjrit ni ade sepupu guee kamu seperti anjing
28/06/2022 15.44;coworenjun;susah anjing punya temen gay  minta cium mulu moga lu kecium lele deh;anjing;susah anjing punya temen gay minta cium mulu moga kamu kecium lele deh
28/06/2022 15.44;dipelukyunjin;anjing nikah ajalah yuk vegas ;anjing;anjing nikah ajalah yuk vegas
28/06/2022 15.44;pacrdon; anjing wkwkwkwk heh;anjing;anjing wkwkwkwk heh
28/06/2022 15.44;gentsemane; anjing;anjing;anjing
28/06/2022 15.44;azazelllI;haduh anjing;anjing;haduh anjing
28/06/2022 15.43;Hrlynasiahaan;anjing cape aku ngemaskan kamar yak;anjing;anjing cape aku ngemaskan kamar yak
28/06/2022 15.43;theJiminJk;sakit jiwa anjing yg pda ngurusin sexualitas orang  get the hell out ihh  otak lu pda kudu dikuras ;anjing;sakit jiwa anjing yang pda ngurusin sexualitas orang get the hell out ihh otak kamu pda kudu dikuras
28/06/2022 15.43;befinkagf; anjing kok bs  tutor yel;anjing;anjing kok bisa tutor yel
28/06/2022 15.43;putragaruda27;anjing mengonggong tanpa otak  pecah belah rakyat  anjing qodari ;anjing;anjing mengonggong tanpa otak pecah belah rakyat anjing qodari
28/06/2022 15.43;fruitstea10;anjing;anjing;anjing
28/06/2022 15.43;SwaggyYoyon; kesel sumpah main ini loudly crying face  inceranku ga dapet anjing loudly crying face  loudly crying face  loudly crying face  walaupun game tetep bertepuk sebelah tangan w loudly crying face  loudly crying face ;anjing;kesel sumpah main ini loudly crying face inceranku tidak dapet anjing loudly crying face loudly crying face loudly crying face walaupun game tetep bertepuk sebelah tangan aku loudly crying face loudly crying face
28/06/2022 15.43;simpfornicsap;sedih banget anjing;anjing;sedih banget anjing
28/06/2022 15.43;YOONSUeit;  anjing baang bahasa lu ngendus banget seakan akan gua tainya bang ian  loudly crying face ;anjing;anjing baang bahasa kamu ngendus banget seakan akan aku tainya bang ian loudly crying face
28/06/2022 15.43;dlyrids;anjing kenapa gua muter muter cuy;anjing;anjing kenapa aku muter muter cuy
28/06/2022 15.43;cokqlat; bnyak tnya anjing;anjing;banyak tnya anjing
28/06/2022 15.42;HAEIYUU;apa motivasi bocil buka paksa pintu mobil gua ampe alarm mobil gua bunyi  abis tu dia lari pas gua tanya jawabnya    ;anjing;apa motivasi bocil buka paksa pintu mobil aku ampe alarm mobil aku bunyi abis tu dia lari ketika aku tanya jawabnya
28/06/2022 15.42;jnjmists; anjing rame bgt;anjing;anjing rame banget
28/06/2022 15.42;sayanganjing;anjing pelacak sering digunakan dalam pencarian tersangka  penangkapan  pengejaran  pencarian barang bukti dan pencarian mayat ;anjing;anjing pelacak sering digunakan dalam pencarian tersangka penangkapan pengejaran pencarian barang bukti dan pencarian mayat
28/06/2022 15.42;lookatmebestie;yaallah loudly crying face  loudly crying face   ini kulitnya gaada yg luka kan  kasian meng nya bakal kedinginan  berani banget anjing petshopnya  kesel  ;anjing;yaallah loudly crying face loudly crying face ini kulitnya gaada yang luka kan kasian meng nya bakal kedinginan berani banget anjing petshopnya kesel
28/06/2022 15.42;abellagituru; yang bener pala kucing apa anjing ;anjing;yang bener pala kucing apa anjing
28/06/2022 15.42;vanillatteaaa_;yg punya anjing kecil bisaa dm aku yaa  dom tangerang  thank youu   haloo  aku sedang mencari anjing kecil yang sed  ;anjing;yang punya anjing kecil bisaa dm aku yaa dom tangerang thank youu haloo aku sedang mencari anjing kecil yang sed
28/06/2022 15.42;jungkookcape;bajingan   kemana lo semua pas jimin di hate gara  main di club    lalu apa beda nya sama manusia anjing satu ini   ;anjing;bajingan kemana kamu semua ketika jimin di hate gara main di club lalu apa beda nya sama manusia anjing satu ini
28/06/2022 15.42;Jeongf31;anjing malah ga merasa  loudly crying face  loudly crying face  face with tears of joy ;anjing;anjing malah tidak merasa loudly crying face loudly crying face face with tears of joy
