date,username,tweet,keyword,Normalisasi,TOKENIZATION,STOP_REMOVAL,STEMMED
2022-06-28 08:47:50+00:00,nihao0o,  masa cewe lo samain sama ikan  lo juga mau aja disamain sm kucing yg gapunya akal  analogi lo jelek ,jelek,masa cewe kamu samain sama ikan kamu juga mau aja disamain sama kucing yang gapunya akal analogi kamu jelek,"['masa', 'cewe', 'kamu', 'samain', 'sama', 'ikan', 'kamu', 'juga', 'mau', 'aja', 'disamain', 'sama', 'kucing', 'yang', 'gapunya', 'akal', 'analogi', 'kamu', 'jelek']","['cewe', 'samain', 'ikan', 'aja', 'disamain', 'kucing', 'gapunya', 'akal', 'analogi', 'jelek']",cewe samain ikan aja disamain kucing gapunya akal analogi jelek
2022-06-28 08:47:44+00:00,fairiescent,tuhan bersama orang orang yang pasrah tanda tangan ktp nya jelek ,jelek,tuhan bersama orang orang yang pasrah tanda tangan ktp nya jelek,"['tuhan', 'bersama', 'orang', 'orang', 'yang', 'pasrah', 'tanda', 'tangan', 'ktp', 'nya', 'jelek']","['tuhan', 'orang', 'orang', 'pasrah', 'tanda', 'tangan', 'ktp', 'nya', 'jelek']",tuhan orang orang pasrah tanda tangan ktp nya jelek
2022-06-28 08:47:43+00:00,piyik_sehun, ahahahah jelek bangett ,jelek,ahahahah jelek bangett,"['ahahahah', 'jelek', 'bangett']","['jelek', 'bangett']",jelek bangett
2022-06-28 08:47:40+00:00,colacoIa,iya  bodo amat ah jelek     ,jelek,iya bodo amat ah jelek,"['iya', 'bodo', 'amat', 'ah', 'jelek']","['iya', 'bodo', 'jelek']",iya bodo jelek
2022-06-28 08:47:34+00:00,just__exo, min tolong dicek sinyalnya dong jelek banget ngelag,jelek,minimal tolong dicek sinyalnya dong jelek banget lama,"['minimal', 'tolong', 'dicek', 'sinyalnya', 'dong', 'jelek', 'banget', 'lama']","['minimal', 'tolong', 'dicek', 'sinyalnya', 'jelek', 'banget']",minimal tolong cek sinyal jelek banget
2022-06-28 08:47:33+00:00,najeonara, dih yg komen ava jelek semua,jelek,dih yang komen ava jelek semua,"['dih', 'yang', 'komen', 'ava', 'jelek', 'semua']","['komen', 'ava', 'jelek']",komen ava jelek
2022-06-28 08:47:17+00:00,cantiknyataynew, den jelek klo ngambeuk  ,jelek,aku jelek kalau ngambek,"['aku', 'jelek', 'kalau', 'ngambek']","['jelek', 'ngambek']",jelek ngambek
2022-06-28 08:47:13+00:00,nosyacey, pls itu gue jelek bgt,jelek,tolong itu aku jelek banget,"['tolong', 'itu', 'aku', 'jelek', 'banget']","['tolong', 'jelek', 'banget']",tolong jelek banget
2022-06-28 08:47:06+00:00,hourlylunar,foto ktp w jelek bgt anjrit kaya buronan  ,jelek,foto ktp aku jelek banget anjing kaya buronan,"['foto', 'ktp', 'aku', 'jelek', 'banget', 'anjing', 'kaya', 'buronan']","['foto', 'ktp', 'jelek', 'banget', 'anjing', 'kaya', 'buronan']",foto ktp jelek banget anjing kaya buron
2022-06-28 08:47:00+00:00,minft,uridu jelek bgt snyalnya   ,jelek,uridu jelek banget sinyalnya,"['uridu', 'jelek', 'banget', 'sinyalnya']","['uridu', 'jelek', 'banget', 'sinyalnya']",uridu jelek banget sinyal
2022-06-28 08:46:58+00:00,Iiathekid, tapi tapi kek anjbanget jelek seumur hidup fakk,jelek,tapi tapi seperti anjbanget jelek seumur hidup fakk,"['tapi', 'tapi', 'seperti', 'anjbanget', 'jelek', 'seumur', 'hidup', 'fakk']","['anjbanget', 'jelek', 'seumur', 'hidup']",anjbanget jelek umur hidup
2022-06-28 08:46:45+00:00,shibalgirl, udah jelek mana seumur hidup anj dasar,jelek,udah jelek mana seumur hidup anjing dasar,"['udah', 'jelek', 'mana', 'seumur', 'hidup', 'anjing', 'dasar']","['udah', 'jelek', 'seumur', 'hidup', 'anjing', 'dasar']",udah jelek umur hidup anjing dasar
2022-06-28 08:46:34+00:00,ezaraidd,aku juga ada handsfree yang menurutku cukup mahal  dan itupun tidak bertahan lama  bukan karena product nya gagal a  ,jelek,aku juga ada handsfree yang menurutku cukup mahal dan itupun tidak bertahan lama bukan karena product nya gagal a,"['aku', 'juga', 'ada', 'handsfree', 'yang', 'menurutku', 'cukup', 'mahal', 'dan', 'itupun', 'tidak', 'bertahan', 'lama', 'bukan', 'karena', 'product', 'nya', 'gagal', 'a']","['handsfree', 'menurutku', 'mahal', 'itupun', 'bertahan', 'product', 'nya', 'gagal', 'a']",handsfree turut mahal itu tahan product nya gagal a
2022-06-28 08:46:30+00:00,aomanda, mau meme jelek    ,jelek,mau meme jelek,"['mau', 'meme', 'jelek']","['meme', 'jelek']",meme jelek
2022-06-28 08:46:22+00:00,Azmimumu010200, udah mah jelek seumur hidup lagi  ,jelek,udah mah jelek seumur hidup lagi,"['udah', 'mah', 'jelek', 'seumur', 'hidup', 'lagi']","['udah', 'jelek', 'seumur', 'hidup']",udah jelek umur hidup
2022-06-28 08:46:01+00:00,pjchynto,kalo bahasa inggrisku jelek berarti bahasa inggrisku ga bagus ,jelek,kalo bahasa inggrisku jelek berarti bahasa inggrisku tidak bagus,"['kalo', 'bahasa', 'inggrisku', 'jelek', 'berarti', 'bahasa', 'inggrisku', 'tidak', 'bagus']","['kalo', 'bahasa', 'inggrisku', 'jelek', 'bahasa', 'inggrisku', 'bagus']",kalo bahasa inggris jelek bahasa inggris bagus
2022-06-28 08:45:38+00:00,powerstranger_, yang good looking  yang jelek mah dianggap botol obat sakit mata ,jelek,yang good looking yang jelek mah dianggap botol obat sakit mata,"['yang', 'good', 'looking', 'yang', 'jelek', 'mah', 'dianggap', 'botol', 'obat', 'sakit', 'mata']","['good', 'looking', 'jelek', 'dianggap', 'botol', 'obat', 'sakit', 'mata']",good looking jelek anggap botol obat sakit mata
2022-06-28 08:45:29+00:00,MinGG72,  mungkin dia yg munya maxim takut maxim dpt nama rating jelek   kaya  perusahaan  ,jelek,mungkin dia yang munya maxim takut maxim dpt nama rating jelek kaya perusahaan,"['mungkin', 'dia', 'yang', 'munya', 'maxim', 'takut', 'maxim', 'dpt', 'nama', 'rating', 'jelek', 'kaya', 'perusahaan']","['munya', 'maxim', 'takut', 'maxim', 'dpt', 'nama', 'rating', 'jelek', 'kaya', 'perusahaan']",mu maxim takut maxim dpt nama rating jelek kaya usaha
2022-06-28 08:45:20+00:00,convomfs,  tuhan bersama orang orang yang pasrah foto ktp nya jelek,jelek,tuhan bersama orang orang yang pasrah foto ktp nya jelek,"['tuhan', 'bersama', 'orang', 'orang', 'yang', 'pasrah', 'foto', 'ktp', 'nya', 'jelek']","['tuhan', 'orang', 'orang', 'pasrah', 'foto', 'ktp', 'nya', 'jelek']",tuhan orang orang pasrah foto ktp nya jelek
2022-06-28 08:45:08+00:00,gyaakutarou,yang jelek dari film ini plot twistnya gak kerasa plot twist sama endingnya agak gantung sama maksa,jelek,yang jelek dari film ini plot twistnya tidak kerasa plot twist sama endingnya agak gantung sama maksa,"['yang', 'jelek', 'dari', 'film', 'ini', 'plot', 'twistnya', 'tidak', 'kerasa', 'plot', 'twist', 'sama', 'endingnya', 'agak', 'gantung', 'sama', 'maksa']","['jelek', 'film', 'plot', 'twistnya', 'kerasa', 'plot', 'twist', 'endingnya', 'gantung', 'maksa']",jelek film plot twistnya rasa plot twist endingnya gantung maksa
2022-06-28 08:45:05+00:00,weirdfengs,entah siapa yg ngawalin bikit jaket almamater model jelek  harusnya bisa kayak sekolah luar varsity bagus ,jelek,entah siapa yang ngawalin bikit jaket almamater model jelek harusnya bisa kayak sekolah luar varsity bagus,"['entah', 'siapa', 'yang', 'ngawalin', 'bikit', 'jaket', 'almamater', 'model', 'jelek', 'harusnya', 'bisa', 'kayak', 'sekolah', 'luar', 'varsity', 'bagus']","['ngawalin', 'bikit', 'jaket', 'almamater', 'model', 'jelek', 'kayak', 'sekolah', 'varsity', 'bagus']",ngawalin bikit jaket almamater model jelek kayak sekolah varsity bagus
2022-06-28 08:45:03+00:00,discrepanc, lu dari awal ribut soal jelek nan gendut  gamau usaha diet kah  ini sih the real lu yang insecure oran  ,jelek,kamu dari awal ribut soal jelek nan gendut gamau usaha diet kah ini sih the real kamu yang insecure oran,"['kamu', 'dari', 'awal', 'ribut', 'soal', 'jelek', 'nan', 'gendut', 'gamau', 'usaha', 'diet', 'kah', 'ini', 'sih', 'the', 'real', 'kamu', 'yang', 'insecure', 'oran']","['ribut', 'jelek', 'nan', 'gendut', 'gamau', 'usaha', 'diet', 'kah', 'the', 'real', 'insecure', 'oran']",ribut jelek nan gendut gamau usaha diet kah the real insecure oran
2022-06-28 08:44:56+00:00,aleonxj, dek mas lagi kumat    dek peluk    dek gemes banget sih kamu    pacar siapa ini    dek mas kalo clingy jelek banget ya  ,jelek,dek mas lagi kumat dek peluk dek gemes banget sih kamu pacar siapa ini dek mas kalo clingy jelek banget ya,"['dek', 'mas', 'lagi', 'kumat', 'dek', 'peluk', 'dek', 'gemes', 'banget', 'sih', 'kamu', 'pacar', 'siapa', 'ini', 'dek', 'mas', 'kalo', 'clingy', 'jelek', 'banget', 'ya']","['dek', 'mas', 'kumat', 'dek', 'peluk', 'dek', 'gemes', 'banget', 'pacar', 'dek', 'mas', 'kalo', 'clingy', 'jelek', 'banget']",dek mas kumat dek peluk dek gemes banget pacar dek mas kalo clingy jelek banget
2022-06-28 08:44:52+00:00,iintrflys,idk basically au yang bawa agama tuh jelek  udh dijelasin sama banyak orang di reply  ,jelek,i dont know basically au yang bawa agama tuh jelek udah dijelasin sama banyak orang di reply,"['i', 'dont', 'know', 'basically', 'au', 'yang', 'bawa', 'agama', 'tuh', 'jelek', 'udah', 'dijelasin', 'sama', 'banyak', 'orang', 'di', 'reply']","['i', 'dont', 'know', 'basically', 'bawa', 'agama', 'jelek', 'udah', 'dijelasin', 'orang', 'reply']",i dont know basically bawa agama jelek udah dijelasin orang reply
2022-06-28 08:44:27+00:00,nosyacey, kal gue jelek bgt,jelek,kal aku jelek banget,"['kal', 'aku', 'jelek', 'banget']","['kal', 'jelek', 'banget']",kal jelek banget
2022-06-28 08:44:19+00:00,nosyacey, jelek bgt,jelek,jelek banget,"['jelek', 'banget']","['jelek', 'banget']",jelek banget
2022-06-28 08:43:50+00:00,ditendangmama,malu ah mau ngetwit tulisan gua jelek takut kalian nggak bisa bacanya,jelek,malu ah mau ngetwit tulisan aku jelek takut kalian tidak bisa bacanya,"['malu', 'ah', 'mau', 'ngetwit', 'tulisan', 'aku', 'jelek', 'takut', 'kalian', 'tidak', 'bisa', 'bacanya']","['malu', 'ngetwit', 'tulisan', 'jelek', 'takut', 'bacanya']",malu ngetwit tulis jelek takut baca
2022-06-28 08:43:41+00:00,woowyo, i m so sorry  tapi aku ga pernah ngomongin hal yg jelek bahkan cursing soal nmx dalam isu ini jadi aku n  ,jelek,i m so sorry tapi aku tidak pernah ngomongin hal yang jelek bahkan cursing soal nmx dalam isu ini jadi aku dan,"['i', 'm', 'so', 'sorry', 'tapi', 'aku', 'tidak', 'pernah', 'ngomongin', 'hal', 'yang', 'jelek', 'bahkan', 'cursing', 'soal', 'nmx', 'dalam', 'isu', 'ini', 'jadi', 'aku', 'dan']","['i', 'm', 'so', 'sorry', 'ngomongin', 'jelek', 'cursing', 'nmx', 'isu']",i m so sorry ngomongin jelek cursing nmx isu
2022-06-28 08:43:41+00:00,streikizz, lah buset kok kocak  sebagai cust ya wajar nanyain haknya  apalagi osnya gajelas  kalo gamau namanya je  ,jelek,lah buset kok kocak sebagai customer ya wajar nanyain haknya apalagi osnya gajelas kalo gamau namanya aja,"['lah', 'buset', 'kok', 'kocak', 'sebagai', 'customer', 'ya', 'wajar', 'nanyain', 'haknya', 'apalagi', 'osnya', 'gajelas', 'kalo', 'gamau', 'namanya', 'aja']","['buset', 'kocak', 'customer', 'wajar', 'nanyain', 'haknya', 'osnya', 'gajelas', 'kalo', 'gamau', 'namanya', 'aja']",buset kocak customer wajar nanyain hak osnya gajelas kalo gamau nama aja
2022-06-28 08:43:32+00:00,Haidararrash1,  sejelek jeleknya pembangkang memang lebih jelek dan pendek ,jelek,sejelek jeleknya pembangkang memang lebih jelek dan pendek,"['sejelek', 'jeleknya', 'pembangkang', 'memang', 'lebih', 'jelek', 'dan', 'pendek']","['sejelek', 'jeleknya', 'pembangkang', 'jelek', 'pendek']",jelek jelek bangkang jelek pendek
2022-06-28 08:43:26+00:00,KETOMBEJUNSEOK,lo pikir aja anak orang diginiin apa ga nangis jelek    ,jelek,kamu pikir aja anak orang diginiin apa tidak nangis jelek,"['kamu', 'pikir', 'aja', 'anak', 'orang', 'diginiin', 'apa', 'tidak', 'nangis', 'jelek']","['pikir', 'aja', 'anak', 'orang', 'diginiin', 'nangis', 'jelek']",pikir aja anak orang diginiin nang jelek
2022-06-28 08:43:19+00:00,ofkaenriah,  lawakan jelek   playable diundur   tahun  ,jelek,lawakan jelek playable diundur tahun,"['lawakan', 'jelek', 'playable', 'diundur', 'tahun']","['lawakan', 'jelek', 'playable', 'diundur']",lawa jelek playable undur
2022-06-28 08:43:10+00:00,ss_xhypex, asli jgn deh jelek bgtt pindah posisi,jelek,asli jangan deh jelek banget pindah posisi,"['asli', 'jangan', 'deh', 'jelek', 'banget', 'pindah', 'posisi']","['asli', 'jelek', 'banget', 'pindah', 'posisi']",asli jelek banget pindah posisi
2022-06-28 08:42:53+00:00,arteacaa, jelek kayak wibu,jelek,jelek kayak wibu,"['jelek', 'kayak', 'wibu']","['jelek', 'kayak', 'wibu']",jelek kayak wibu
2022-06-28 08:42:34+00:00,reveiIIe, tapi kayak kalo dark mode tampilannya jadi jelek gituu warnanya ga masuk wkwk memilih estetika ,jelek,tapi kayak kalo dark mode tampilannya jadi jelek gituu warnanya tidak masuk wkwk memilih estetika,"['tapi', 'kayak', 'kalo', 'dark', 'mode', 'tampilannya', 'jadi', 'jelek', 'gituu', 'warnanya', 'tidak', 'masuk', 'wkwk', 'memilih', 'estetika']","['kayak', 'kalo', 'dark', 'mode', 'tampilannya', 'jelek', 'gituu', 'warnanya', 'masuk', 'memilih', 'estetika']",kayak kalo dark mode tampil jelek gituu warna masuk pilih estetika
2022-06-28 08:42:14+00:00,indahutar, tp typingnya jelek,jelek,tapi typingnya jelek,"['tapi', 'typingnya', 'jelek']","['typingnya', 'jelek']",typingnya jelek
2022-06-28 08:42:05+00:00,shinewin15_, hmm betull   mau keluar jg cuacanya jelek malah jadi flu,jelek,hmm betull mau keluar juga cuacanya jelek malah jadi flu,"['hmm', 'betull', 'mau', 'keluar', 'juga', 'cuacanya', 'jelek', 'malah', 'jadi', 'flu']","['hmm', 'betull', 'cuacanya', 'jelek', 'flu']",hmm betull cuaca jelek flu
2022-06-28 08:41:54+00:00,ilvtenyuw_,kok jelek bgt anjir ,jelek,kok jelek banget anjing,"['kok', 'jelek', 'banget', 'anjing']","['jelek', 'banget', 'anjing']",jelek banget anjing
2022-06-28 08:41:24+00:00,spidermarklee1,    ini narasi pertama ku maaf kalau jelek  ,jelek,ini narasi pertama aku maaf kalau jelek,"['ini', 'narasi', 'pertama', 'aku', 'maaf', 'kalau', 'jelek']","['narasi', 'maaf', 'jelek']",narasi maaf jelek
2022-06-28 08:41:21+00:00,riauliav,he s human too woii tapi gapernah jelek   ,jelek,he s human too woii tapi gapernah jelek,"['he', 's', 'human', 'too', 'woii', 'tapi', 'gapernah', 'jelek']","['he', 's', 'human', 'too', 'woii', 'gapernah', 'jelek']",he s human too woii gapernah jelek
2022-06-28 08:41:16+00:00,penyihirrr,  prny jelek bgt ya wkwk,jelek,prny jelek banget ya wkwk,"['prny', 'jelek', 'banget', 'ya', 'wkwk']","['prny', 'jelek', 'banget']",prny jelek banget
2022-06-28 08:41:00+00:00,nosyacey, rupanya gue jelek bgt anjir,jelek,rupanya aku jelek banget anjing,"['rupanya', 'aku', 'jelek', 'banget', 'anjing']","['jelek', 'banget', 'anjing']",jelek banget anjing
2022-06-28 08:40:51+00:00,nosyacey, jelek bgt anjay,jelek,jelek banget anjing,"['jelek', 'banget', 'anjing']","['jelek', 'banget', 'anjing']",jelek banget anjing
2022-06-28 08:40:50+00:00,JVLEHA,banyak cowo jelek dengan argumen jelek dan opini jelek di replies tweet ini ,jelek,banyak cowo jelek dengan argumen jelek dan opini jelek di replies tweet ini,"['banyak', 'cowo', 'jelek', 'dengan', 'argumen', 'jelek', 'dan', 'opini', 'jelek', 'di', 'replies', 'tweet', 'ini']","['cowo', 'jelek', 'argumen', 'jelek', 'opini', 'jelek', 'replies', 'tweet']",cowo jelek argumen jelek opini jelek replies tweet
2022-06-28 08:40:25+00:00,jamanjju,huhu sebenernya kasian liat zuber goh v shem drawnya jelek terus  ,jelek,huhu sebenernya kasian liat zuber goh v shem drawnya jelek terus,"['huhu', 'sebenernya', 'kasian', 'liat', 'zuber', 'goh', 'v', 'shem', 'drawnya', 'jelek', 'terus']","['sebenernya', 'kasian', 'liat', 'zuber', 'goh', 'v', 'shem', 'drawnya', 'jelek']",sebenernya kasi liat zuber goh v shem drawnya jelek
2022-06-28 08:40:16+00:00,my_wafiqaz, berasa paling pas dn bagus ternyata tetap jelek  ,jelek,berasa paling ketika dan bagus ternyata tetap jelek,"['berasa', 'paling', 'ketika', 'dan', 'bagus', 'ternyata', 'tetap', 'jelek']","['berasa', 'bagus', 'jelek']",asa bagus jelek
2022-06-28 08:40:10+00:00,mahnafiah, iya kan  bener ke rumahku  sinyalnya jelek bgt emang,jelek,iya kan bener ke rumahku sinyalnya jelek banget emang,"['iya', 'kan', 'bener', 'ke', 'rumahku', 'sinyalnya', 'jelek', 'banget', 'emang']","['iya', 'bener', 'rumahku', 'sinyalnya', 'jelek', 'banget', 'emang']",iya bener rumah sinyal jelek banget emang
2022-06-28 08:40:06+00:00,nosyacey, emg jelek dei awal sih  tp itu jelek bgt,jelek,emang jelek dei awal sih tapi itu jelek banget,"['emang', 'jelek', 'dei', 'awal', 'sih', 'tapi', 'itu', 'jelek', 'banget']","['emang', 'jelek', 'dei', 'jelek', 'banget']",emang jelek dei jelek banget
2022-06-28 08:40:02+00:00,moniqqaro,masih geleng  nangis jelek gw  ini last scene udh di spill duluan   ,jelek,masih geleng nangis jelek aku ini last scene udah di spill duluan,"['masih', 'geleng', 'nangis', 'jelek', 'aku', 'ini', 'last', 'scene', 'udah', 'di', 'spill', 'duluan']","['geleng', 'nangis', 'jelek', 'last', 'scene', 'udah', 'spill', 'duluan']",geleng nang jelek last scene udah spill duluan
2022-06-28 08:39:48+00:00,nosyacey, jelek bgt ituu,jelek,jelek banget ituu,"['jelek', 'banget', 'ituu']","['jelek', 'banget', 'ituu']",jelek banget ituu
2022-06-28 08:39:41+00:00,cigarettexEth_, ketawa nya jelek,jelek,ketawa nya jelek,"['ketawa', 'nya', 'jelek']","['ketawa', 'nya', 'jelek']",ketawa nya jelek
2022-06-28 08:39:33+00:00,fizzletwt,  aku jelek banget,jelek,aku jelek banget,"['aku', 'jelek', 'banget']","['jelek', 'banget']",jelek banget
2022-06-28 08:39:17+00:00,iannzip, haha hehe jelek,jelek,haha hehe jelek,"['haha', 'hehe', 'jelek']","['haha', 'hehe', 'jelek']",haha hehe jelek
2022-06-28 08:39:10+00:00,ALDRLDXVR, agakny akun lo jelek ar makany kena limit,jelek,agakny akun kamu jelek ar makanya kena limit,"['agakny', 'akun', 'kamu', 'jelek', 'ar', 'makanya', 'kena', 'limit']","['agakny', 'akun', 'jelek', 'ar', 'kena', 'limit']",agakny akun jelek ar kena limit
2022-06-28 08:39:01+00:00,hyvlaaa,jaringan di rumah yg ini knp jelek bngt dah   ,jelek,jaringan di rumah yang ini kenapa jelek banget dah,"['jaringan', 'di', 'rumah', 'yang', 'ini', 'kenapa', 'jelek', 'banget', 'dah']","['jaringan', 'rumah', 'jelek', 'banget']",jaring rumah jelek banget
2022-06-28 08:38:47+00:00,penyukaamekdi,  tapi org miskin kultural juga banyak loh  ,jelek,tapi orang miskin kultural juga banyak loh,"['tapi', 'orang', 'miskin', 'kultural', 'juga', 'banyak', 'loh']","['orang', 'miskin', 'kultural']",orang miskin kultural
2022-06-28 08:38:33+00:00,lilliansky__, bangsat jelek banget,jelek,bangsat jelek banget,"['bangsat', 'jelek', 'banget']","['bangsat', 'jelek', 'banget']",bangsat jelek banget
2022-06-28 08:38:30+00:00,asahieomma,  jelek kek demit,jelek,jelek seperti demit,"['jelek', 'seperti', 'demit']","['jelek', 'demit']",jelek demit
2022-06-28 08:38:08+00:00,blubeili, samaa tp tulisanku jelek ,jelek,samaa tapi tulisanku jelek,"['samaa', 'tapi', 'tulisanku', 'jelek']","['samaa', 'tulisanku', 'jelek']",samaa tulis jelek
2022-06-28 08:38:03+00:00,thinkaboutle,bhahahha jelek banget ava lu    ,jelek,bhahahha jelek banget ava kamu,"['bhahahha', 'jelek', 'banget', 'ava', 'kamu']","['jelek', 'banget', 'ava']",jelek banget ava
2022-06-28 08:38:00+00:00,JJAYmafia, iya kak soalnya wifinya jelek,jelek,iya kak soalnya wifinya jelek,"['iya', 'kak', 'soalnya', 'wifinya', 'jelek']","['iya', 'kak', 'wifinya', 'jelek']",iya kak wifinya jelek
2022-06-28 08:37:59+00:00,uncleminho,skill  d design gue masih jelek bgt hiks gue juga cuma assist senior vm doang  yang bikin  d designnya bukan w    g  ,jelek,skill d design aku masih jelek banget hiks aku juga cuma asisten senior vm doang yang bikin d designnya bukan aku tidak,"['skill', 'd', 'design', 'aku', 'masih', 'jelek', 'banget', 'hiks', 'aku', 'juga', 'cuma', 'asisten', 'senior', 'vm', 'doang', 'yang', 'bikin', 'd', 'designnya', 'bukan', 'aku', 'tidak']","['skill', 'd', 'design', 'jelek', 'banget', 'asisten', 'senior', 'vm', 'doang', 'bikin', 'd', 'designnya']",skill d design jelek banget asisten senior vm doang bikin d designnya
2022-06-28 08:37:56+00:00,pelernasaurus, cakep krna filter aja bangga     iri ya udh pake filter ttep jelek,jelek,cakep karena filter aja bangga iri ya udah pake filter tetap jelek,"['cakep', 'karena', 'filter', 'aja', 'bangga', 'iri', 'ya', 'udah', 'pake', 'filter', 'tetap', 'jelek']","['cakep', 'filter', 'aja', 'bangga', 'iri', 'udah', 'pake', 'filter', 'jelek']",cakep filter aja bangga iri udah pake filter jelek
2022-06-28 08:37:52+00:00,g_omuno,  apps jelek masih kitabmainin,jelek,apps jelek masih kitabmainin,"['apps', 'jelek', 'masih', 'kitabmainin']","['apps', 'jelek', 'kitabmainin']",apps jelek kitabmainin
2022-06-28 08:37:50+00:00,KooWifee,jelek banget tl skrng mending vote deh daripada ngurusin orang lain asli ga guna  soalnya orang yang lo semua omong  ,jelek,jelek banget timeline sekarang mending vote deh daripada ngurusin orang lain asli tidak guna soalnya orang yang kamu semua omong,"['jelek', 'banget', 'timeline', 'sekarang', 'mending', 'vote', 'deh', 'daripada', 'ngurusin', 'orang', 'lain', 'asli', 'tidak', 'guna', 'soalnya', 'orang', 'yang', 'kamu', 'semua', 'omong']","['jelek', 'banget', 'timeline', 'mending', 'vote', 'ngurusin', 'orang', 'asli', 'orang', 'omong']",jelek banget timeline mending vote ngurusin orang asli orang omong
