sentiment,STEMMED,label_encoder
-1,males on sana hawa nya jelek,negatif
-1,kalo mana ajak boro ajak langsung tinggal alesannya nolak gamau gausa ,negatif
-1,ah anjing udah stress beneran huruf,negatif
1,spicles banget sebut anjing gila,netral
-1,mati aja anjing,negatif
1,terror maling pake telpon wassap nyala internetnya bunyiin,netral
-1,anjing sakit banget to ,negatif
1,sial anjing,netral
-1,benci orang lemah benci anjing,negatif
-1,sad banget anjing,negatif
-1,anjing bikin darah,negatif
-1,nyali bacod anjing rabies hina ulama nyali banci laknat sok an ngomong islam hina ulama,negatif
-1,malu maluin anjing,negatif
-1,aneh anjing idup susah tambahin susah anjing,negatif
-1,dih anjing trauma gausah bawa bawa anak,negatif
1,iya anjing ui undip tamggal jam kesel banget,netral
-1,susah anjing temen gay cium mulu moga cium lele,negatif
-1,sakit jiwa anjing ngurusin sexualitas orang get the hell out otak kudu kuras,negatif
-1,anjing mengonggong otak pecah belah rakyat anjing qodari,negatif
1,kesel sumpah main inceranku dapet anjing game tetep tepuk belah tangan,netral
-1,sedih banget anjing,negatif
1,motivasi bocil buka paksa pintu mobil ampe alarm mobil bunyi abis lari,netral
-1,bajing mana jimin hate gara main club beda nya manusia anjing,negatif
-1,iya anjing takut typo,negatif
-1,pengen ngomong kasar anjing anjing anjing,negatif
1,sedia langsung hubung kondisi anjing operasi tumor payudara,netral
1,butuh donor darah anjing kakak syarat sehat vaksin lengkap berat min kg ti,netral
-1,anjing sek babi,negatif
-1,bingung banget anjing mana ahh ngentot aja,negatif
-1,faakk anjing salah pengen nyalahin orang,negatif
-1,anjing galbugalau brutal,negatif
-1,anjing musnah setan benci banget,negatif
-1,sebentar kurus sakit,negatif
1,tidur larut malam kurus,netral
-1,gin sender tebengin orang kurus liat berat eh,negatif
1,anak susah makan kurus bunda sedih mrpro bantu atas ganggu susah mkan blh konsumsi usia thun,netral
1,kalo lihat bentuk tubuh aneh dada pundak liat kurus gilir perut bawah kayak hamil a,netral
1,kak kasihan dompet udah kurus krempeng,netral
-1,permisi orang kurus,negatif
1,gering gaenak badan sakit kalo kurus kuru,netral
1,inti apa makan kalo nyerang batin aja kurus,netral
1,kurus lsm dki lepas saham usaha bir,netral
-1,gemuk kurus kurus gemuk,negatif
1,openfollow for rp oprasi sedot lemak menit langsung kurus rl ahyougnk lemak poto,netral
1,mikirnya jaring lemak kurus banget,netral
1,daritadi ngetawain orang ciri nya tunggu kiris tunggu kurus tunggu kiri eh kurus,netral
1,berat kat kurus,netral
1,anda pola makan kacau kelas sempat kurus,netral
-1,kaya sakit mental lupa nama udah kurus ngaku asa kurus gitu,negatif
1,ditakoni ngene mbe konco gr kurus tidur larut malam,netral
-1,cita kurus makan mulu bingung audrey celana udah gaada muat uyy,negatif
-1,banget sender dikatain kurus banget usaha naikin berat badan nii doain yaa moga cepet naikk,negatif
-1,liat kurus,negatif
1,x khilaf tengok ig story noreen cakap kalo kurus jer gemuk la sedih ind,netral
1,viggo kurus liat julang tiang listrik,netral
1,iya yaa liat kurus kayak anak coba,netral
1,mohon maaf bengkok kiri kriteria kurus masee,netral
1,zahin tgh lakon orang zoo pegang ular ulat getah aja zahin ambil gambar,netral
-1,yanan sender ttg body positivity yanan gemuk kurus tetep yanan kalo dikatain jel,negatif
1,cepet gemuk gimana bosen kurus mulu,netral
-1,yakaann huhu udah kurus banget sedih,negatif
1,ulang buat buat kurus kurus,netral
-1,ribut jelek nan gendut gamau usaha diet kah the real insecure oran,negatif
-1,nabilahjkt gendut,negatif
1,gendut lucu banget om ngemesin,netral
1,lucuu jimin nya gendut banget,netral
-1,pengen makan benyak mikir kalori takut gendut kea makan benyak berat badan gitu capekk,negatif
1,lucu perut nya gendut,netral
-1,beli pakai muat gendut baju,negatif
-1,bosen bilang gendut takut bukti langsing konsultasi ahli pin a bba no,negatif
1,nyukur tau kucing kena hernia bulu emang lebat,netral
-1,mampus gendut,negatif
-1,gendut banget pakai nyebelin banget mukanny,negatif
1,orang definisi makan gendut,netral
-1,indra bekti gendut,negatif
1,gendut nyeret lumba,netral
1,suap makan lezat apa ejek gendut maaf men,netral
-1,suap makan lezat apa ejek gendut maaf hina sahabat chouji,negatif
-1,grey gendut,negatif
1,beli ayam balado ijo merah ayam bakar cincang gitu nama cumi gendut kikil jarang,netral
1,om udah buka pake vpn tetep buka error gitu,netral
1,yaallah dikatain gendut mulu orang,netral
-1,udah gendut,negatif
1,gatau sender kesel alas gendut stress,netral
-1,pendek gendut hidup,negatif
-1,konsisten ala nang dendam orang ngatain gendut gendut gendut orang s,negatif
-1,gendut,negatif
1,benerr lucu banget gendut kasein nitrat,netral
-1,gendut banget,negatif
-1,dindaa sok ie bangke gendut pendek jelek,negatif
1,iii diet turunin kg mala gendut transfer aja kg,netral
-1,tolak gapunya kucing gendut,negatif
1,kucing gendut kucing ras nyasar rumah,netral
-1,gendut ,negatif
1,blom takut gendut,netral
1,baca meng gendut endut maaf kak,netral
1,mun nukar coba pasar sender tikung jembatan mesjid jam,netral
-1,takut makan nasi takut gendut takut muntah orang bilang makan aja biar seha,negatif
1,wanita suka pria gendut gendut rekening jomblo baper,netral
-1,mampus gendut,negatif
-1,temenku kurus ketemu selalu ngeluh gendut sadar orang hadap,negatif
1,ko gendut stress makan,netral
-1,ngomong aja gendut,negatif
-1,gendut,negatif
-1,gendut,negatif
-1,gendut ucul bangett,negatif
1,ngakak ngaku gendut anjer,netral
-1,cebol boongin gendut tauk,negatif
-1,ndilalah biyen gek medheng e thukul rabuk karo gendut saiki jebolane akeh,negatif
-1,gendut babelbas,negatif
-1,badan moko cimi bulet pendek gitu liat gendut,negatif
1,h grogi meong kak gendut ameen moga he nama puber,netral
1,gendut rumah niat konsisten jadiin gendut tameng,netral
1,urus gendut,netral
1,ngerasa pola pikir aneh yuk urai ngerasa lebih bilang teman,netral
1,benyak banget bulan langsung gendut,netral
-1,duo hobi makan gendut gendut,negatif
-1,bayar aja gaduh benda makan masuk dlm perut gendang gendut tali,negatif
1,tim kalo pake oversize liat gendut,netral
1,tolol piknik duit nyalain rejim ganti hp duit kaga salah rejim ,netral
-1,lucu banget nikmat hidup tuduh hate speech ngl nya mantan mantan aduh tolol,negatif
-1,emang tolol maaf,negatif
-1,gatau gedeg sama model cewe gini menye gajelas aneh kalo laper cari,negatif
1,bisa nyolong gambar nana fansite tolol,netral
1,sleepcall jam gatau bahas random pagi date gojek jam men,netral
1,tolol indomaret udah sampe kasir pedenya lupa bawa uang bawa debit alhasil dlu kosan tolol,netral
1,minggu udah mati belah,netral
-1,maaf katain tolol habis emang beneran tolol,negatif
1,beli nice so harga rb pepet gowes earphone tinggal bekas niat,netral
-1,liat tolol nya,negatif
-1,tolol banget anjing udah sore,negatif
-1,udah koreksi gameplay udah bilang sorry nya ngapa,negatif
1,bego wajib sholat tolol,netral
-1,ngakak banget anjingg orang tolol napa laku aneh,negatif
-1,anjing susah beli minyak goreng pakai nik nama jalan memgonggong,negatif
-1,benci banget tai baca typingnya orang tolol,negatif
-1, politik identitas sok ngislami nyari ikut tolol kadal dasar setan ala,negatif
-1, ena ena dua pusing panik ngajak warga base tolol,negatif
-1,liat tolol nya presiden ngurus minyak goreng harga cabe bawang aja,negatif
-1,iya abis pensiun archon gagal atur uang abah zhongli putus buka usaha tenda bakso,negatif
-1,negara gagal kelola jebak hutang nyusahin rakyat,negatif
-1,stress hasil snmptn sbmptn gagal manusia,negatif
-1,tai gara strada nonton konser gagal bangsat,negatif
1,ampun sedih bener libur aja gagal mulu,netral
-1,gagal coba,negatif
-1,gagal,negatif
1,melu alure ae mengko lek gagal dadi lawa evaluasi,netral
1,udah jelasin kalimat gagal paham,netral
1,handsfree turut mahal itu tahan product nya gagal a,netral
1,cie otw gagal taruh,netral
1,nama usaha nomor handphone alamat email kendala kini data gagal foto biometri,netral
1,heskey morientes voronin crouch carroll balotelli benteke lambert solanke maaf lord origi,netral
1,gagal ayah sosok ayah gagal kembali ibu,netral
1,hrus irit kuota ni gara download dmd konser ni anjing gagal mlu jdinya boros banget,netral
1,gagal makan milidi,netral
1,rangkum dunia srilanka bangkrut gabisa bayar pns russia gagal bayar utang gara gara euroclear indon,netral
1,hah ydm gagal yedam kuliah jihoon bilang fansign k,netral
1,nurunin harga migor aja gagal,netral
1,kak udah buka malam kalo punya udah dapet token bayar bayar gagal,netral
1,gagal paham ,netral
1,kali gagal,netral
1,ubah iklim panen gagal ,netral
1,makna gagal family tarik ambil main naturalisasi rana urus kim,netral
1,perihal kendala gagal kini data informasi perlu klaim dana jamin,netral
1,kak coba unblock gagal bayar,netral
1,hujan gagal tarik masa pikir senggang,netral
1,gagal gantang,netral
1,gagal fokus wagub ,netral
1,kali st time exam sangkut simpang jalan salah selekoh makan jalan jpj henti tepi,netral
1,moody s konfirmasi rusia gagal bayar utang,netral
1,coba coba gagal menerus laku trial and error tuk,netral
1,gagal masuk negeri gagal masuk negeri lolos sbmptn snmptn snmpn mandiri gap year gagal,netral
1,gagal henti buah koma ba it kalimat tempuh titik jumpa,netral
1,atira gagal pake jilbab,netral
1,rupiah selasa sore gagal tahan rp dolar as sariagri tani,netral
1,proses proses proses proses usaha gagal bangun lagi jatuh kena suplex gapapa nama manusia,netral
1,mantap anies simak video biar gx gagal fahan,netral
1,gagal kt bukit,netral
-1,manusia gagal,negatif
1,iseng nonton salah anime favorit singkat padat seru bikin gagal move on,netral
1,kali lulus lesen auto st gagal nd gagal litar rd lulus,netral
1,gagal kuliah,netral
-1,sentil ego dikatain gagal mulu hanum,negatif
1,gagal cari salah orang ajar spy ulang salah,netral
1,gagal laku coba,netral
1,download mvnya pakai modem smartfren gantung atap nunggu jam terdownload gagal,netral
1,wta shoope error kah gagal mulu sfu zonauang zonajajan,netral
1,gagal tempur ksatria gagal tarik pedang,netral
-1,anjing produk gagal ngevlog,negatif
-1,orang gagal paham usaha sukses,negatif
-1,salah laku nyamuk lolos geplakan tangan,negatif
1,udah bikin adon starter jam gatot alias gagal total gara gara lupa nambahin gula plus keding,netral
-1,coba gagal ,negatif
1,puding gagal aih,netral
1,dichat oa linenya daftar gagal tutup terus terk,netral
1,gagal hanya ajar gagal alam,netral
-1,gagal,negatif
-1,gagal motor time jpj jatuh titi cinta,negatif
1,galau gagal galau,netral
1,coba register otp masalah typing otp masalah hasil tolong call cs gagal regist,netral
1,coba daftar aplikasi aja gagal pake,netral
1,duga kuat tahan beban keluarga ayah nekat sewa kuli panggul pasar,netral
1,kalo angkat beban olahrga,netral
-1,ga ada kyanya orang rumah bahagia kyanya beban nya hilang,negatif
1,belum beban idup benyak banget anjing,netral
-1,beban tanggung selesai,negatif
-1,haduh gasadar beban,negatif
-1,remaja mabuk beban hidup,negatif
-1,tahu semut angkat beban kali tubuh,negatif
-1,pikir pikir beban banget yaa habis pikir,negatif
1,magesup doang beban pikir anjeng,netral
1,tolong nambah nambahin beban idup,netral
-1,emang beban,negatif
-1,posisi cari aja orang beban banget sumpah duit abis ngerasa ngerepotin banget,negatif
1,dikatain beban sama anak tiktok ,netral
-1,beban banget,negatif
1,ketawa banget hobby beneran gemar nambahin beban sapa,netral
-1,cewe beban,negatif
1,kenapa hilang beban upah diriku,netral
-1,beban,negatif
1,bayi imunisasi beban ganda pandemik,netral
-1,beban army tiktod,negatif
1,alhamdulillah allah beban ortu allah tau baget hamba,netral
-1,sumpah beban banget baca ovt,negatif
1,plis nambah beban pikir sungguh umat manusia sulit manusia lainnya azab,netral
1,takut beban mental,netral
-1,mena nampak lelah kemari lepas beban beban peluk,negatif
-1,jt moga tembus mandiri biar beban,negatif
1,ortu lengkap sehat asa banget mikul beban butuh rumah udah gitu ortu,netral
1,sampe semester beban aja anjing,netral
1,hai im back akhirnyaa twitteran beban yaa wktu libur semester doang,netral
-1,dear udah main lepas aja beban menang kecewa ko kalo kalah ekspekta,negatif
1,genesha operation buku the king k daftar sbmtn tiket kereta ke hotel bareng temen daftar,netral
1,hidup aja udah beban fangirling beban gini,netral
-1,beban keluarga,negatif
-1,berat apa beban hadap percaya lebih batas mampu eaw,negatif
-1,beban hidup aja udah ribet username sosmed ribet pusing,negatif
1,bun apa tanggung beban orang ikut apa,netral
1,dosa gangguin orang beban,netral
1,alhamdulillah finish for ecj beban kurang satu,netral
-1,habis beban hidup abis sisa pc bablas nyoret aja,negatif
-1,beban,negatif
1,mama dek kerja gaada beban enteng banget hidup malam ovt mena,netral
1,ajar biasa ajar ikhlas pergi ajar mel,netral
1,mending main orang emang nganggep teammate beban sampah apa role mu,netral
1,beda sender bawa beban hidup nambah,netral
-1,beban,negatif
-1,taii nambah beban ultah deui anjiirrlah,negatif
1,wajib banget beban keluarga,netral
-1,gada duit alhamdulilah nambah beban lemari buku,negatif
1,mereka milik beban pikir,netral
1,beban pikir sudab hilang,netral
-1,beban amat,negatif
1,udah stress beban beban stress,netral
1,beban pikir daritadii,netral
1,bener bangett nemenin jaman bocil alay sampe skrg beban hidup,netral
1,jan banget kuwi utang beban,netral
-1,beban keluarga,negatif
1,kalo beban timbang sbenarny,netral
-1,beban rakyat,negatif
1,kurang beban kos rakyat ,netral
1,bikin mikir emang pikir omong beban pikir orang bangsat,netral
-1,beban keluarga,negatif
1,aduh sbnrnya takut diitung bimbel offline bimbel online qiupper ,netral
-1,doa beban idup menk,negatif
-1,berani ngejumlah gagal semuaa wkwkw beban keluarga,negatif
1,allahu iya beban ini,netral
1,pergi hangout beneran yaa sekarang temennya mulu ofc beban,netral
-1,beban hidup,negatif
-1,emang anak beban ortu nikah sadar ajaa,negatif
1,sering cemas biar paranoid sampe gila pengecut,netral
1,orang jepang keliru nyikapin nerjemahin kalimat maksud juang sampe habis ,netral
-1,orang pengecut sampah liat,negatif
-1,langsung pengecut bicara jelek jelek belakang,negatif
-1,hina shanks pengecut ,negatif
-1,hipokrit sikap pengecut asap api,negatif
1,cupu cari lindung balik base muncul ribut sorry to say pengecut k,netral
-1,mang pinter tolol goblog bencong pengecut ngomong sok,negatif
1,ishida kun tindas lemah lawan kuat pengecut bleach syquote,netral
-1,pengecut nyali kaum sampah akwkaa,negatif
1,maaf joji ganti haluan kayak pengecut play kali iring ovt malam,netral
-1,serah usaha nama pengecut,negatif
-1,cowo sopan santun banget kasar cewek tukang kompor gaya sombong ,negatif
-1,getir narasi kalah kuasa kalah get,negatif
-1,pengecut munafik,negatif
1,identitas suara pengecut manusia lemah,netral
-1,liat nihh cebong anarkis tukang rusuh bodoh pengecut,negatif
-1,pengecut tau gamau ambil pilih gamau salah kalo pake pilih orang,negatif
-1,bilang aja takut anies presiden dasar pengecut,negatif
-1,laku udah kabur say biasaa playing victim tipe pengecut minger kabur,negatif
-1,rate matkilau sokong tegar khilaf manusia skeptik,negatif
-1,takut anis hitam putih bahaya abu orang munafik,negatif
-1,halah munafik ris,negatif
-1,cakap akhirat kubur padang mahsyar syurga neraka follow malu wei,negatif
-1,slam ktp gus islam munafik kalo islam tk mgkin makan daging babi hayoo ngomongin,negatif
-1,munafik,negatif
-1,negeri nya manusia munafik otak koruptor,negatif
-1,benci munafik suka orang,negatif
-1,sujud ma tuhan jam menit sembah sujud puji tipu,negatif
-1,munafik kalo doyan hey tempat kenal langsung men,negatif
-1,ansare sb aap ek munafik janet adme han aur munafikat inteha han state bank imf contro,negatif
-1,nama munafik,negatif
-1,gilir puruk langsung bohong dasar munafik,negatif
-1,munafik pasal wayang ni,negatif
-1,partaiknya keras benci mati parpol maling sapi benci k,negatif
-1,kalo ambil aja gausah munafik pura gamau tau malu udah ambil ajah gausah munafik,negatif
-1,munafik nya kaum kadrun kuatir pad merosot kasih jalan lha tutup,negatif
-1,munafik ho tum,negatif
-1,emang udah takdir negeri pimpin manusia munafik sok suci layk nya nabi bejat munafik,negatif
-1,munafik kalau sedih,negatif
-1,orang munafik beb bikin muak,negatif
-1,tipe manusia layak hidup munafik bohong,negatif
-1,orang munafik dapat update hari video poster ilmu jadwal gabung da,negatif
-1,golong munafik racun level alam semesta,negatif
-1,dengar filem mat kilau unsur unsur gangster munafik,negatif
-1,tenggelam anies nasdem aman nkri sebab pecah politis munafik,negatif
-1,pegang simpan tampar orang orang munafik gila jabat rebut,negatif
-1,perkara dance gitu doang allahuu gausa munafik tae buka baju kemaren aja demen anjing mnding fokus,negatif
-1,nama twitter ganti pantes pake nama khazanah udah tau haram leceh nabi muhammad eh,negatif
-1,locked orang munafik,negatif
-1,takda noh ayat munafik fitnah laga orang,negatif
-1,munafik simpan bokep dlm hard disk jaman skrg sapa,negatif
-1,muslim fakksin haram haram binasa akal tak tidur,negatif
-1,munafik banget nang,negatif
-1,munafik bangke,negatif
-1,kalo suka orang coba aja liat orang munafik,negatif
-1,kotor suci hina beril munafik jiwa bersem,negatif
-1,gausah munafik nama manusia butuh validasi fokus situ mending liat pesan utama sender h,negatif
-1,munafik,negatif
-1,isi janji main hantam aja munafik orang perangai sapu,negatif
-1,manusia munafik manusia anju,negatif
-1,teori orang jahat akal sehat kadrun munafik,negatif
-1,kasi banget tetangga sebentar orang munafik tukang dzolim sabarr sabarr,negatif
-1,ngomong buat beda munafik kelas elit,negatif
-1,munafik pengen someone spesial,negatif
-1,iya skrang tanding negara coba liat kbelakang io im bkal bilang sperti,negatif
-1,maaf kecuali munafik cepat akrab orang kreak,negatif
-1,coba buka tutup wajah mu bencong kadrun tukang munafik aktivis bego,negatif
-1,kolam berudu panas jaga rukun dusta isyarat alam sudah ger,negatif
-1,bener banget pilih pilih teman cari teman lingkung penuh drama munafik,negatif
-1,gamau munafik jujur prefer dibayarin split bill banget kalo uang bayarin,negatif
-1,munafik kalo orang jaman skrg ngeliat cewek cowok fisik kali liat wajah urus hati,negatif
-1,pm jepang sok pengenal sok rangkul england tinju france peluk fz kadrun cuman nyiyir sirik munafik,negatif
-1,beda jujur munafik bobrok,negatif
-1,munafik mati aja ngentod,negatif
-1,anjing lacur golong munafik hina binatang,negatif
-1,munafik hina binatang,negatif
-1,lebai ni part mat kilau baca hadis munafik time jumpa deris malu bodo,negatif
-1,laku kadroen undang usaha bakso abang bakso dorong apa guy,negatif
-1,munafik bumn giur,negatif
-1,andai bisadiulang ktmu sm orang munafik,negatif
-1,tau munafik cuan hidup,negatif
-1,fakta anies baswedan munafik ahli neraka,negatif
-1,nabi kawan orang pecah amanah munafik,negatif
-1,rem banget anjing munafik nonton bayang mulu,negatif
-1,nonton film makmum munafik,negatif
-1, andal kaum kafir munafik,negatif
-1,gapapa enggak gagal gagal univ jurus,negatif
-1,munafik muna taufik kah,negatif
-1,laporin aja cctv gitu udah aneh orang bejat udah ngelanggar atur,negatif
-1,kesel bisa senyum aneh banget ni orang,negatif
-1,tim kiri makenya bilang aneh nyaman pake jam tangan,negatif
-1,emang aneh,negatif
-1,udah plss aneh banget,negatif
-1,kalo diturunin high note ubah nada dasar biar aneh,negatif
-1,emang lala aneh banget band bunda neira,negatif
-1,akun aneh aja,negatif
-1,waa emang pts gin kelas ganti tgl merah yaa kirain kampus aneh gitu,negatif
-1,aneh stobeli mintchoco,negatif
-1,ngapalin reported speech menit uji kalo bingung tang ting tung aja kalo mu,negatif
-1,manusia aneh,negatif
-1,nanya nya aneh,negatif
-1,udah tau disakitin tahan aja udah aneh,negatif
-1,aneh anjri smapa smapa,negatif
-1,iyaa ngebenerin tetep anggap kesel langsung qrt aneh sumpah,negatif
-1,tolong coba coba aneh,negatif
-1,aneh banget suara bias tau udah kasih tau kalo suara member terima tetep kekeuh sam,negatif
-1,aneh,negatif
-1,aneh,negatif
-1,ngomongin mikirin sexuality orang aja udah aneh males banget timeline bahas ginian mulu,negatif
-1,hah aneh banget kurir nya,negatif
-1,judul buku pake nama ship aja udah aneh,negatif
-1,iya ko kak aneh banget,negatif
-1,gatau gedeg sm model cewe gin menye gajelas aneh kalo laper cari,negatif
-1,banget aneh laku,negatif
-1,sistem nya aneh sumpah emblem nya,negatif
-1,kelar episode money heist overall enjoy tegang reng aneh chemistr,negatif
-1,heh ngatain cil cil cil panggil emak emak julid aneh,negatif
-1,mimpi ketemu jogja acara ulang tahun ringgo aneh nyata nyata aneh,negatif
-1,udah rasa aneh bener teriak aja dh salah engga aman teriak,negatif
-1,aneh,negatif
-1,ngabarin dedek ayank ayang adik ad brita aneh bca nonton kongser ajh ab,negatif
-1,aneh dunia,negatif
-1,aneh geli baca ulang,negatif
-1,lucu aneh banget ngeliatnya umur udah aja pikir anak tk dah ketawain aja,negatif
-1,produk makan minum tarik edar kandung bahan bahaya produk real,negatif
-1,aneh siih ko orang out of nowhere ngechat wa privasi gitu,negatif
-1,kiri aneh pake kanan,negatif
1,cuaca aneh,netral
1,kagamizune suara cempreng aneh,netral
1,mancanegara slh strimer femes kuntit orang aneh sampe temennya strime,netral
1,salah anak disalahin emaknya aneh,netral
1,solostan laen dpt protes ikut gitu aneh,netral
1,jritt sekte aneh kucingg,netral
1,aneh gaenak jir,netral
1,kelas tvone ko ngangkat cuit buzzer tukang hasut adu domba aneh,netral
1,beda level aneh aja bilang,netral
1,susah aneh,netral
1,margot mas oke aja ryan gosling mas aneh liat masp smg film baguss,netral
-1,emang aneh banget anjing jelas,negatif
1,aneh suka sempit,netral
-1,aneh aneh aja kejer pdi perjuangan,negatif
-1,iya lihat gitu gelagat rada aneh,negatif
1,ngomong aduh taeyong kak aneh renti bias,netral
-1,eksrim sender dm nangisin jamet jls aneh cwe cemburu sinting ah cwo mu babi air,negatif
-1,adenya aneh anak udah pengen banget gang ngode kali tetep aja kaga,negatif
-1,stan bts aja udah aneh salam twinkle twinkle,negatif
1,asa aneh meriang,netral
-1,iseng buka dm ig sadar aneh salah dm cek,negatif
-1,aneh,negatif
1,aneh angela only jaman mitik,netral
-1,dikatain rp bahiyyih aneh,negatif
1,aneh nya dd,netral
-1,aneh laku generasi remaja perempuan sidoarjo nyemplung kali min,negatif
1,tagih vlog vlognya lucu aneh banget emang band,netral
-1,capek kejametan bener apo bilng mnrut p mile aneh,negatif
-1,cinta aneh manusia genggam trlalu longgar lari,negatif
-1,ngapain saing anjing pdkt in eluu aneh banget shit,negatif
-1,aneh,negatif
-1,maaf kadang kadang emang aneh akun,negatif
-1,whats wrong with people nowadays karakter fiksi sampe dewa begitu aja udah aneh the worst thing i ve ever read,negatif
-1,aja manusia manusia aneh,negatif
1,untung banget cinta buta anda ngeliat orang jelek laku,netral
1,tuhan orang orang pasrah tanda tangan ktp nya jelek,netral
1,foto ktp jelek banget anjing kaya buron,netral
1,kalo bahasa inggris jelek bahasa inggris bagus,netral
1,good looking jelek anggap botol obat sakit mata,netral
1,ngawalin bikit jaket almamater model jelek kayak sekolah varsity bagus,netral
1,asli jelek banget pindah posisi,netral
1,asa bagus jelek,netral
1,skill design jelek banget asisten senior vm doang bikin d designnya,netral
1,jelek banget timeline mending vote ngurusin orang asli orang omong,netral
1,tau kah lucu dunia ajar sbmtn fokus tes potensial akademik matematika aja hasil,netral
-1,iya jelek doang enak,negatif
1,iya anjing,netral
1,tolong anjing gajadi bangsat,netral
1,anjing tks,netral
-1,ngaca anjing anggap bahan gabut anjing kalo temen sib,negatif
1,anjing ,netral
1,anjing,netral
1,regan ketemu tikam anjing,netral
1,akun belah suka kelogout anjing,netral
1,adik sensitivitas nya banget anjing,netral
1,masker sold out anjing,netral
1,anjing,netral
1,cium lebih anjing lacak anjing,netral
1,anjing,netral
1,anggap gonggong anjing binatang makan bangkai jilat bayar,netral
1,nomor bener anjing,netral
1,mikir atuh kalo ngomong teh anjing,netral
1,anjing banget,netral
1,udah telat menit kelas lantai anjing,netral
1,anjing,netral
1,kaga anjing,netral
1,beli aja anjing,netral
1,anjing,netral
1,tetangga anjing kak,netral
-1,temenku lesbi gitu anjing,negatif
1,anjing bang ngepetnya kambing,netral
1,random aja minsung live bareng anjing,netral
1,nama aja cholie tukang cili doong orang biopolar sampe teroris ima,netral
1,anjingg mipa udah dpt nasi jinggo aja sukur anjing,netral
1,anjing,netral
1,kena spoilernya in this life i will be the lord suami bibi tia anggap orang bapak kemb,netral
1,anjing kuota,netral
-1,plis anjing ni ade sepupu anjing,negatif
1,anjing nikah aja yuk vegas,netral
1,anjing,netral
1,anjing,netral
1,haduh anjing,netral
1,anjing cape ngemaskan kamar ya,netral
1,anjing tutor ,netral
1,anjing,netral
1,anjing baang bahasa ngendus banget akan tainya bang ian,netral
1,anjing muter muter ,netral
